1.6310 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
24.2362 	EXP 	fixation: autoDraw = True
25.2363 	EXP 	fixation: autoDraw = False
25.2363 	EXP 	grating: autoDraw = True
25.5363 	EXP 	grating: autoDraw = False
25.6059 	DATA 	Keypress: up
25.6240 	EXP 	New trial (rep=10, index=0): None
25.6365 	EXP 	fixation: autoDraw = False
25.6365 	EXP 	grating: autoDraw = False
25.6365 	EXP 	grating: ori = 3.0
25.6365 	EXP 	fixation: autoDraw = True
26.6362 	EXP 	fixation: autoDraw = False
26.6362 	EXP 	grating: autoDraw = True
26.9362 	EXP 	grating: autoDraw = False
27.2081 	EXP 	New trial (rep=11, index=0): None
27.2110 	DATA 	Keypress: down
27.2195 	EXP 	fixation: autoDraw = False
27.2195 	EXP 	grating: autoDraw = False
27.2195 	EXP 	grating: ori = 0.0
27.2195 	EXP 	fixation: autoDraw = True
28.2194 	EXP 	fixation: autoDraw = False
28.2194 	EXP 	grating: autoDraw = True
28.5194 	EXP 	grating: autoDraw = False
28.6578 	EXP 	New trial (rep=12, index=0): None
28.6597 	DATA 	Keypress: up
28.6695 	EXP 	fixation: autoDraw = False
28.6695 	EXP 	grating: autoDraw = False
28.6695 	EXP 	grating: ori = -5.0
28.6695 	EXP 	fixation: autoDraw = True
29.6695 	EXP 	fixation: autoDraw = False
29.6695 	EXP 	grating: autoDraw = True
29.9695 	EXP 	grating: autoDraw = False
30.2740 	EXP 	New trial (rep=13, index=0): None
30.2770 	DATA 	Keypress: down
30.2861 	EXP 	fixation: autoDraw = False
30.2861 	EXP 	grating: autoDraw = False
30.2861 	EXP 	grating: ori = 0.0
30.2861 	EXP 	fixation: autoDraw = True
31.2863 	EXP 	fixation: autoDraw = False
31.2863 	EXP 	grating: autoDraw = True
31.5862 	EXP 	grating: autoDraw = False
32.1576 	EXP 	New trial (rep=14, index=0): None
32.1596 	DATA 	Keypress: down
32.1692 	EXP 	fixation: autoDraw = False
32.1692 	EXP 	grating: autoDraw = False
32.1692 	EXP 	grating: ori = 0.0
32.1692 	EXP 	fixation: autoDraw = True
33.1695 	EXP 	fixation: autoDraw = False
33.1695 	EXP 	grating: autoDraw = True
33.4693 	EXP 	grating: autoDraw = False
33.8906 	EXP 	New trial (rep=15, index=0): None
33.8924 	DATA 	Keypress: down
33.9026 	EXP 	fixation: autoDraw = False
33.9026 	EXP 	grating: autoDraw = False
33.9026 	EXP 	grating: ori = 0.0
33.9026 	EXP 	fixation: autoDraw = True
34.9028 	EXP 	fixation: autoDraw = False
34.9028 	EXP 	grating: autoDraw = True
35.2029 	EXP 	grating: autoDraw = False
