trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
18,0,18,0,38.9861064000288,39.98621440003626,39.98621440003626,down,1,0.39896370004862547,1,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
19,0,19,0,40.40281910006888,41.4028373999754,41.4028373999754,down,0,0.701003500027582,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
20,0,20,0,42.13592130003963,43.13583020004444,43.13583020004444,up,1,0.6761311999289319,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
21,0,21,0,43.835834500030614,44.83643809997011,44.83643809997011,down,1,0.7617625000420958,2,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
22,0,22,0,45.619029900059104,46.61930510005914,46.61930510005914,up,0,0.7837975999573246,1,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
23,0,23,0,47.419145600055344,48.41925210005138,48.41925210005138,up,0,1.2195446999976411,4,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
24,0,24,0,49.66897820006125,50.669067300041206,50.669067300041206,down,0,1.108985900063999,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
25,0,25,0,51.80244210001547,52.802432400058024,52.802432400058024,down,1,0.8862806000979617,-2,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
26,0,26,0,53.718982800026424,54.71898959996179,54.71898959996179,down,0,0.762055000057444,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
27,0,27,0,55.50228070002049,56.50221830001101,56.50221830001101,down,0,0.5139042000519112,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
28,0,28,0,57.03556800005026,58.03564720007125,58.03564720007125,down,0,0.6179507999913767,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
29,0,29,0,58.68548560002819,59.68573859997559,59.68573859997559,down,0,0.4751358999637887,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
30,0,30,0,60.18562170001678,61.18601970002055,61.18601970002055,down,0,0.6487702999729663,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
31,0,31,0,61.85248790006153,62.852491899975576,62.852491899975576,down,0,0.44918230001349,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
32,0,32,0,63.318885699962266,64.31894450006075,64.31894450006075,up,1,0.7741059000836685,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
33,0,33,0,65.11891720001586,66.11874649999663,66.11874649999663,down,0,0.7126531000249088,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
34,0,34,0,66.85202630003914,67.85221589996945,67.85221589996945,down,1,0.8690305000636727,-2,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
35,0,35,0,68.75221840001177,69.75208460004069,69.75208460004069,down,1,0.543218000093475,1,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
36,0,36,0,70.31877760007046,71.31868879997637,71.31868879997637,down,0,0.9275826000375673,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
37,0,37,0,72.2687142000068,73.26877019996755,73.26877019996755,up,1,0.6036930000409484,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
38,0,38,0,73.90185719996225,74.90212880005129,74.90212880005129,up,1,0.7698252000845969,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
39,0,39,0,75.70210700004827,76.70216510002501,76.70216510002501,down,1,0.7824562999885529,4,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
40,0,40,0,77.5019314000383,78.50201449997257,78.50201449997257,up,1,0.9061593000078574,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
41,0,41,0,79.4354042999912,80.43544540007133,80.43544540007133,up,1,0.8504337999038398,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
42,0,42,0,81.30190059996676,82.30196269997396,82.30196269997396,down,1,0.9469234000425786,1,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
43,0,43,0,83.2684520999901,84.26845500001218,84.26845500001218,down,1,0.6682624999666587,2,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
44,0,44,0,84.96844850003254,85.96845320006832,85.96845320006832,down,1,0.35793140006717294,4,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
45,0,45,0,86.35177900001872,87.35194590000901,87.35194590000901,down,0,0.4154285000404343,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
46,0,46,0,87.78524210001342,88.78534189995844,88.78534189995844,down,1,0.3790015000849962,4,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
47,0,47,0,89.18528640002478,90.18518200004473,90.18518200004473,down,1,0.37659680005162954,3,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
48,0,48,0,90.58507809997536,91.58512209996115,91.58512209996115,down,1,0.3136756999883801,-4,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
49,0,49,0,91.91830769996159,92.91838980000466,92.91838980000466,down,0,0.42985449999105185,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
50,0,50,0,93.36815200001001,94.36824250000063,94.36824250000063,up,1,0.6268309999722987,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
51,0,51,0,95.01846649998333,96.01821100001689,96.01821100001689,up,1,0.5308233000105247,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
